from,to
"Bacteroidetes","Bacteroidia"
"Flavobacteriaceae","Maribacter"
"Flavobacteriales","Schleiferiaceae"
"Chitinophaga","Chitinophaga pinensis"
"Bacteroidales","Candidatus Azobacteroides"
"Candidatus Azobacteroides","Candidatus Azobacteroides pseudotrichonymphae"
"Parabacteroides","Parabacteroides johnsonii"
"Blattabacterium","Blattabacterium sp. (Mastotermes darwiniensis)"
"Paludibacteraceae","Paludibacter"
"Flavobacteriales","Flavobacteriaceae"
"Spirosomaceae","Dyadobacter"
"Croceibacter","Croceibacter atlanticus"
"Muricauda","Muricauda ruestringensis"
"Bacteroides","Bacteroides xylanisolvens"
"Flavobacteriaceae","Croceibacter"
"Psychroflexus","Psychroflexus torquis"
"Bacteroidetes","Cytophagia"
"Rhodothermaceae","Rhodothermus"
"Flexithrix","Flexithrix dorotheae"
"Flammeovirgaceae","Flexithrix"
"Barnesiellaceae","Barnesiella"
"Cytophagia","Cytophagales"
"Niabella","Niabella soli"
"Blattabacteriaceae","Blattabacterium"
"Bacteroides","Bacteroides caccae"
"Bernardetia","Bernardetia litoralis"
"Flavobacteriaceae","Tenacibaculum"
"Microscillaceae","Microscilla"
"Rhodothermus","Rhodothermus marinus"
"Rhodothermaceae","Salinibacter"
"Bacteroidales","Paludibacteraceae"
"Dyadobacter","Dyadobacter fermentans"
"Flavobacteriaceae","Nonlabens"
"Cyclobacteriaceae","Cyclobacterium"
"Prolixibacteraceae","Sunxiuqinia"
"Polaribacter","Polaribacter irgensii"
"Flavobacterium","Flavobacterium johnsoniae"
"Prevotella","Prevotella sp. oral taxon 299"
"Cyclobacteriaceae","Belliella"
"Prevotella","Prevotella copri"
"Chitinophagia","Chitinophagales"
"Chitinophagaceae","Niastella"
"Chitinophagaceae","Chitinophaga"
"Flavobacteriaceae","Croceitalea"
